sub,ses,run,trial_id,onset,nsd_id,split,category_id
subj01,1,1,2,20.0,828,train,37
subj01,1,1,5,32.0,40422,train,22
subj01,1,1,9,48.0,55065,train,59
subj01,1,1,15,76.0,21690,train,74
subj01,1,1,23,112.0,64919,train,23
subj01,1,1,31,144.0,65060,train,4
subj01,1,1,33,152.0,54482,train,37
subj01,1,1,35,164.0,44980,shared1000,4
subj01,1,1,38,176.0,11018,train,55
subj01,1,1,41,188.0,17681,train,53
subj01,1,1,46,212.0,17497,train,17
subj01,1,1,51,232.0,18468,train,5
subj01,1,1,55,252.0,53052,shared1000,74
subj01,1,1,57,260.0,43898,train,11
subj01,1,1,59,268.0,17952,train,22
subj01,1,1,62,280.0,35618,train,61
subj01,1,2,64,16.0,3585,train,53
subj01,1,2,68,32.0,3585,train,53
subj01,1,2,74,60.0,45699,train,6
subj01,1,2,76,68.0,45318,train,19
subj01,1,2,78,76.0,15284,train,23
subj01,1,2,84,104.0,7188,train,38
subj01,1,2,88,120.0,33364,train,74
subj01,1,2,91,132.0,65972,train,5
subj01,1,2,97,160.0,31968,train,10
subj01,1,2,100,172.0,13299,train,20
subj01,1,2,102,180.0,18656,train,5
subj01,1,2,106,200.0,49170,train,23
subj01,1,2,108,208.0,26185,train,3
subj01,1,2,113,228.0,69027,train,3
subj01,1,2,115,240.0,44360,train,6
subj01,1,2,117,248.0,33466,train,53
subj01,1,2,119,256.0,67444,train,6
subj01,1,2,124,276.0,25406,train,31
subj01,1,3,125,12.0,4776,train,55
subj01,1,3,127,20.0,27358,train,3
subj01,1,3,134,48.0,68099,train,38
subj01,1,3,136,60.0,12706,train,25
subj01,1,3,138,68.0,9376,train,61
subj01,1,3,143,88.0,60985,train,17
subj01,1,3,146,100.0,51992,train,31
subj01,1,3,149,116.0,51227,train,36
subj01,1,3,155,140.0,54123,train,23
subj01,1,3,159,156.0,54926,train,5
subj01,1,3,161,168.0,56554,train,61
subj01,1,3,163,176.0,32701,train,30
subj01,1,3,170,208.0,33442,train,59
subj01,1,3,175,228.0,37015,train,18
subj01,1,3,178,244.0,64647,train,61
subj01,1,3,183,264.0,15276,train,38
subj01,1,3,185,272.0,5101,train,19
subj01,1,3,187,280.0,65972,train,5
subj01,1,4,189,16.0,44980,shared1000,4
subj01,1,4,192,28.0,26696,train,37
subj01,1,4,194,36.0,47674,train,37
subj01,1,4,196,44.0,63806,train,36
subj01,1,4,198,56.0,43712,train,37
subj01,1,4,200,64.0,5033,train,17
subj01,1,4,202,72.0,47163,train,5
subj01,1,4,207,96.0,15491,train,25
subj01,1,4,209,104.0,36929,train,25
subj01,1,4,211,112.0,38437,train,5
subj01,1,4,214,124.0,11270,train,61
subj01,1,4,218,144.0,34944,train,22
subj01,1,4,220,152.0,48281,train,53
subj01,1,4,222,160.0,33364,train,74
subj01,1,4,226,176.0,27358,train,3
subj01,1,4,228,188.0,72443,train,37
subj01,1,4,232,204.0,5602,shared1000,11
subj01,1,4,240,240.0,63191,train,20
subj01,1,4,245,260.0,21601,shared1000,25
subj01,1,4,247,268.0,49724,train,36
subj01,1,5,250,12.0,15492,shared1000,3
subj01,1,5,253,24.0,60312,train,38
subj01,1,5,259,48.0,8389,train,37
subj01,1,5,261,60.0,1289,train,31
subj01,1,5,264,72.0,21601,shared1000,25
subj01,1,5,271,100.0,68715,train,36
subj01,1,5,273,112.0,52371,train,74
subj01,1,5,277,128.0,41708,train,23
subj01,1,5,281,144.0,16723,shared1000,33
subj01,1,5,288,176.0,33483,train,20
subj01,1,5,290,184.0,48202,train,38
subj01,1,5,298,220.0,57750,train,5
subj01,1,5,300,228.0,35852,train,33
subj01,1,5,302,236.0,52603,train,18
subj01,1,5,304,248.0,23496,train,23
subj01,1,5,308,264.0,18556,train,61
subj01,1,5,311,276.0,15491,train,25
subj01,1,6,313,12.0,7095,train,38
subj01,1,6,316,24.0,23877,train,37
subj01,1,6,320,40.0,23748,train,6
subj01,1,6,323,52.0,19144,train,20
subj01,1,6,326,68.0,18590,train,53
subj01,1,6,331,88.0,8667,train,11
subj01,1,6,351,176.0,57549,train,18
subj01,1,6,353,184.0,53052,shared1000,74
subj01,1,6,358,208.0,17319,train,18
subj01,1,6,362,224.0,34944,train,22
subj01,1,6,366,244.0,66287,train,23
subj01,1,6,374,276.0,51227,train,36
subj01,1,7,377,20.0,63887,train,37
subj01,1,7,381,36.0,45318,train,19
subj01,1,7,384,52.0,60746,train,19
subj01,1,7,387,64.0,17319,train,18
subj01,1,7,390,76.0,37015,train,18
subj01,1,7,398,112.0,16625,train,23
subj01,1,7,404,136.0,16625,train,23
subj01,1,7,406,144.0,55661,train,74
subj01,1,7,409,160.0,57750,train,5
subj01,1,7,414,180.0,71315,train,25
subj01,1,7,418,196.0,60985,train,17
subj01,1,7,420,208.0,64919,train,23
subj01,1,7,425,228.0,18193,train,19
subj01,1,7,428,240.0,7634,train,18
subj01,1,7,435,272.0,63472,train,25
subj01,1,8,438,12.0,58422,train,30
subj01,1,8,445,40.0,35852,train,33
subj01,1,8,447,52.0,5101,train,19
subj01,1,8,449,60.0,4776,train,55
subj01,1,8,451,68.0,38437,train,5
subj01,1,8,453,76.0,55661,train,74
subj01,1,8,458,100.0,46133,train,55
subj01,1,8,461,112.0,33242,train,61
subj01,1,8,464,124.0,51992,train,31
subj01,1,8,466,132.0,2792,train,38
subj01,1,8,469,148.0,68638,train,74
subj01,1,8,480,196.0,2792,train,38
subj01,1,8,486,220.0,64712,train,55
subj01,1,8,494,256.0,46952,train,25
subj01,1,8,498,272.0,55738,train,30
subj01,1,9,501,16.0,57549,train,18
subj01,1,9,503,24.0,46019,train,61
subj01,1,9,506,36.0,15491,train,25
subj01,1,9,509,48.0,14873,train,3
subj01,1,9,512,60.0,52603,train,18
